TRANSACTION_ID,CUSTOMER_ID,VEHICLE_MODEL,VEHICLE_YEAR,PURCHASE_DATE,SALE_PRICE_GBP,DEALERSHIP_LOCATION,SALES_AGENT,PURCHASE_TYPE,DELIVERY_DATE,MILEAGE_AT_PURCHASE,VEHICLE_STATUS,CURRENT_MILEAGE,LAST_SERVICE_DATE
TXN021,CUST09063,Polar 4x4,2023,2023-08-15,43500,Cardiff,SnowMobile Service,New,2023-08-20,0,Owned,8800,2025-01-10
TXN022,CUST14319,None,0,0,0,Belfast,Joseph Williams,Corporate Prospect,0,0,Prospect,0,0
TXN023,CUST07571,Tundra Truck,2021,2021-12-05,47000,London,SnowMobile Service,New,2021-12-10,0,Owned,25200,2024-09-15
TXN024,CUST13917,Frostbite EV,2025,2025-03-07,46000,Cardiff,Customer Relations,New,2025-03-12,0,Owned,800,Pending
TXN025,CUST06981,Blizzard SUV,2021,2021-07-15,51500,Belfast,James Murphy,New,2021-07-20,0,Owned,29000,2024-11-25
TXN026,CUST11515,Avalanche XTR,2024,2024-10-20,37000,Manchester,Emma Thompson,New,2024-10-25,0,Owned,2800,Pending
TXN027,CUST08834,Polar 4x4,2022,2022-07-18,52000,Edinburgh,Evie Parker,New,2022-07-23,0,Owned,18200,2024-10-30
TXN028,CUST13551,None,0,0,0,Birmingham,Oliver Turner,Fleet Prospect,0,0,Prospect,0,0
TXN029,CUST07283,Frostbite EV,2023,2023-02-10,47500,Cardiff,James Morgan,New,2023-02-15,0,Owned,13500,2024-11-20
TXN030,CUST09329,Blizzard SUV,2022,2022-08-15,56500,London,Sarah Parker,New,2022-08-20,0,Owned,17200,2024-12-10
TXN031,CUST10542,None,0,0,0,London,Michael Parker,Prospect,0,0,Prospect,0,0
TXN032,CUST08721,Frostbite EV,2023,2023-05-15,43000,Birmingham,James Wilson,New,2023-05-20,0,Owned,11200,2024-09-25
TXN033,CUST09334,Glacier Sedan,2022,2022-09-10,39500,Cardiff,SnowMobile Support,New,2022-09-15,0,Owned,16500,2024-08-20
TXN034,CUST07223,Avalanche XTR,2024,2024-03-20,87000,Aberdeen,Customer Relations,New,2024-03-25,0,Owned,4500,2024-12-15
TXN035,CUST14502,Tundra Truck,2021,2021-10-15,48500,Belfast,James Murphy,New,2021-10-20,0,Owned,26800,2024-08-30
TXN036,CUST05981,Glacier Sedan,2019,2019-03-10,51000,London,Harry Mitchell,New,2019-03-15,0,Owned,48000,2024-07-15
TXN037,CUST11276,Polar 4x4,2022,2022-07-20,54500,Birmingham,Mark Thompson,New,2022-07-25,0,Owned,17800,2024-10-05
TXN038,CUST10157,Tundra Truck,2022,2022-04-15,59000,Cardiff,SnowMobile Finance,New,2022-04-20,0,Owned,21500,2024-11-10
TXN039,CUST08292,None,0,0,0,London,James Parker,Prospect,0,0,Prospect,0,0
TXN040,CUST15623,Blizzard SUV,2023,2023-05-20,55500,Manchester,Sarah Chen,New,2023-05-25,0,Owned,11500,2024-12-05
TXN041,CUST07745,Glacier Sedan,2024,2024-09-10,64000,Manchester,Customer Relations,New,2024-09-15,0,Owned,3800,2025-02-20
TXN042,CUST13209,None,0,0,0,Cardiff,Sarah Williams,Fleet Prospect,0,0,Prospect,0,0
TXN043,CUST09876,Polar 4x4,2021,2021-08-20,46000,Edinburgh,James Wilson,New,2021-08-25,0,Owned,27500,2024-09-10
TXN044,CUST11934,Avalanche XTR,2024,2024-08-15,35000,Belfast,Benjamin Cooper,New,2024-08-20,0,Owned,4200,2024-12-30
TXN045,CUST08112,Blizzard SUV,2022,2022-02-15,48500,Birmingham,Sophia Baker,New,2022-02-20,0,Owned,19800,2024-10-15
TXN046,CUST10392,Glacier Sedan,2023,2023-06-15,45000,Cardiff,Grace Taylor,New,2023-06-20,0,Owned,10200,2024-11-30
TXN047,CUST11587,Blizzard SUV,2025,2025-02-10,0,Belfast,Samuel Davies,Prospect,0,0,Prospect,0,0
TXN048,CUST08445,Tundra Truck,2023,2023-08-10,44000,London,Evie Robinson,New,2023-08-15,0,Owned,8500,2024-12-20
TXN049,CUST07133,Glacier Sedan,2020,2020-12-05,49000,Glasgow,Isla Phillips,New,2020-12-10,0,Owned,38500,2024-08-25 
